epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1885,1.7624,4.36531,1.63349,0,0,0,0,1.74745,4.28373,1.72303,5.88e-06,5.88e-06,5.88e-06
2,13.7898,1.84693,4.30715,1.77243,0.00194,0.08333,0.00436,0.00436,1.75154,4.24344,1.73505,1.74654e-05,1.74654e-05,1.74654e-05
3,20.2668,1.78368,4.32241,1.73854,0.00322,0.16667,0.00848,0.00776,1.67989,4.23669,1.69754,2.88179e-05,2.88179e-05,2.88179e-05
4,26.5991,1.54629,4.27702,1.55973,0.00237,0.16667,0.01421,0.01256,1.60543,4.24349,1.64105,3.99375e-05,3.99375e-05,3.99375e-05
5,33.053,1.66206,4.22968,1.61345,0.01566,0.20139,0.05831,0.04574,1.55934,4.25083,1.6219,5.08244e-05,5.08244e-05,5.08244e-05
6,39.5617,1.44054,4.20349,1.42815,0.00535,0.20833,0.05433,0.04475,1.55817,4.25256,1.60099,6.14783e-05,6.14783e-05,6.14783e-05
7,45.9704,1.32355,4.11321,1.39198,0.00556,0.29167,0.05494,0.04838,1.57564,4.22894,1.58869,7.18995e-05,7.18995e-05,7.18995e-05
8,52.4084,1.4635,4.0668,1.48313,0.00475,0.29167,0.05574,0.04807,1.52821,4.22521,1.56163,8.20877e-05,8.20877e-05,8.20877e-05
9,58.8174,1.49506,4.04135,1.43691,0.00434,0.29167,0.05824,0.04912,1.50073,4.21165,1.54079,9.20432e-05,9.20432e-05,9.20432e-05
10,65.2171,1.36268,3.89941,1.39646,0.00467,0.3125,0.06473,0.05052,1.42879,4.19465,1.48938,0.000101766,0.000101766,0.000101766
11,71.6902,1.49444,3.83541,1.53092,0.00437,0.3125,0.06736,0.04898,1.45797,4.17265,1.52132,0.000111255,0.000111255,0.000111255
12,78.0943,1.48173,3.73778,1.46133,0.00489,0.33333,0.086,0.06122,1.4114,4.15385,1.48166,0.000120512,0.000120512,0.000120512
13,84.5099,1.28636,3.69356,1.36171,0.00488,0.33333,0.08903,0.06464,1.35198,4.13211,1.43591,0.000129536,0.000129536,0.000129536
14,90.9368,1.37354,3.59442,1.43675,0.00694,0.375,0.13264,0.09929,1.37156,4.1078,1.44573,0.000138328,0.000138328,0.000138328
15,97.3542,1.44761,3.4852,1.45457,0.00584,0.35417,0.13921,0.10449,1.36158,4.08425,1.44084,0.000146886,0.000146886,0.000146886
16,103.792,1.3758,3.27834,1.43711,0.00836,0.4375,0.1552,0.11995,1.33276,4.05701,1.40697,0.000155211,0.000155211,0.000155211
17,110.286,1.43516,3.27003,1.47021,0.00909,0.45833,0.1718,0.13411,1.3041,4.01387,1.39364,0.000163304,0.000163304,0.000163304
18,117.612,1.42953,3.07654,1.41131,0.0106,0.49306,0.24749,0.19087,1.29904,3.95443,1.39978,0.000171164,0.000171164,0.000171164
19,125.509,1.47189,3.11483,1.49954,0.01554,0.55556,0.29079,0.23245,1.31845,3.89361,1.42888,0.000178791,0.000178791,0.000178791
20,134.061,1.33422,2.95228,1.34511,0.01454,0.52083,0.29634,0.23938,1.3242,3.83712,1.45424,0.000186185,0.000186185,0.000186185
21,141.37,1.30727,2.91438,1.40359,0.01624,0.55139,0.30047,0.2428,1.32059,3.76795,1.44774,0.000193346,0.000193346,0.000193346
22,148.037,1.26482,2.62196,1.37121,0.01882,0.60972,0.30445,0.25183,1.3036,3.70907,1.44395,0.000200275,0.000200275,0.000200275
23,155.168,1.34618,2.73301,1.42695,0.94291,0.13017,0.31349,0.25168,1.3352,3.6719,1.48089,0.00020697,0.00020697,0.00020697
