epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,196.633,0.99788,1.61757,1.03958,0.72424,0.33333,0.74547,0.53158,1.34963,3.4043,1.16626,0.000305775,0.000305775,0.000305775
42,201.358,0.94458,1.52743,1.06106,0.74118,0.33333,0.74653,0.54331,1.32021,3.39612,1.17548,0.000308189,0.000308189,0.000308189
43,206.053,0.96698,1.62881,1.05363,0.74118,0.33333,0.74653,0.54331,1.32021,3.39612,1.17548,0.000310356,0.000310356,0.000310356
44,210.759,0.99432,1.523,1.05341,0.75777,0.16667,0.76044,0.55444,1.33702,3.35769,1.18874,0.000312276,0.000312276,0.000312276
45,215.382,0.87013,1.34364,1.03074,0.75777,0.16667,0.76044,0.55444,1.33702,3.35769,1.18874,0.000313948,0.000313948,0.000313948
46,220.079,0.8627,1.36087,0.96486,0.75623,0.16667,0.78489,0.56711,1.38343,3.28748,1.1865,0.000315372,0.000315372,0.000315372
47,224.686,0.86411,1.58298,1.11434,0.75623,0.16667,0.78489,0.56711,1.38343,3.28748,1.1865,0.000316549,0.000316549,0.000316549
48,229.356,0.90449,1.4767,1.03178,0.75497,0.16667,0.72609,0.50606,1.38854,3.24299,1.19091,0.000317478,0.000317478,0.000317478
49,233.928,0.86447,1.46814,1.06109,0.75497,0.16667,0.72609,0.50606,1.38854,3.24299,1.19091,0.00031816,0.00031816,0.00031816
50,238.568,0.92825,1.43233,1.07028,0.75456,0.16667,0.71556,0.49453,1.39062,3.2315,1.1853,0.000318594,0.000318594,0.000318594
51,243.164,0.94334,1.60916,1.0926,0.75456,0.16667,0.71556,0.49453,1.39062,3.2315,1.1853,0.000315625,0.000315625,0.000315625
52,247.781,0.91569,1.48205,1.04869,0.99495,0.16667,0.63597,0.43817,1.38088,3.19764,1.17926,0.000309437,0.000309437,0.000309437
53,252.366,0.85487,1.53851,1.11875,0.99495,0.16667,0.63597,0.43817,1.38088,3.19764,1.17926,0.00030325,0.00030325,0.00030325
54,256.994,0.98471,1.26921,1.07661,0.75471,0.16667,0.66347,0.46666,1.39618,3.09799,1.17929,0.000297063,0.000297063,0.000297063
55,261.574,0.95135,1.59545,1.07353,0.75471,0.16667,0.66347,0.46666,1.39618,3.09799,1.17929,0.000290875,0.000290875,0.000290875
56,266.171,0.87254,1.55455,1.06297,0.75463,0.16667,0.74611,0.50715,1.39181,2.99985,1.18474,0.000284688,0.000284688,0.000284688
57,270.755,0.84649,1.48996,1.01947,0.75463,0.16667,0.74611,0.50715,1.39181,2.99985,1.18474,0.0002785,0.0002785,0.0002785
58,275.374,0.85743,1.29479,1.01644,0.75467,0.16667,0.84285,0.57361,1.41057,2.92072,1.18365,0.000272313,0.000272313,0.000272313
59,280.023,0.84902,1.29713,0.9911,0.75467,0.16667,0.84285,0.57361,1.41057,2.92072,1.18365,0.000266125,0.000266125,0.000266125
60,284.703,0.873,1.24846,1.05785,0.70805,0.33333,0.82896,0.56248,1.42752,2.90374,1.18572,0.000259938,0.000259938,0.000259938
61,289.288,0.98316,1.44284,1.13958,0.70805,0.33333,0.82896,0.56248,1.42752,2.90374,1.18572,0.00025375,0.00025375,0.00025375
